type,value,slug,description,parentSlug,parentType,isActive,sortOrder,metadataJson
LOCATION_CITY,Bengaluru,bengaluru,City in Karnataka,karnataka,LOCATION_STATE,true,1,"{""tier"":1}"
LOCATION_CITY,Mysuru,mysuru,City in Karnataka,karnataka,LOCATION_STATE,true,2,"{""tier"":2}"
LOCATION_CITY,Mangaluru,mangaluru,City in Karnataka,karnataka,LOCATION_STATE,true,3,"{""tier"":2}"
LOCATION_CITY,Hubballi,hubballi,City in Karnataka,karnataka,LOCATION_STATE,true,4,"{""tier"":2}"
LOCATION_CITY,Dharwad,dharwad,City in Karnataka,karnataka,LOCATION_STATE,true,5,"{""tier"":2}"
LOCATION_CITY,Belagavi,belagavi,City in Karnataka,karnataka,LOCATION_STATE,true,6,"{""tier"":2}"
LOCATION_CITY,Kalaburgi,kalaburgi,City in Karnataka,karnataka,LOCATION_STATE,true,7,"{""tier"":2}"
LOCATION_CITY,Ballari,ballari,City in Karnataka,karnataka,LOCATION_STATE,true,8,"{""tier"":2}"
LOCATION_CITY,Davanagere,davanagere,City in Karnataka,karnataka,LOCATION_STATE,true,9,"{""tier"":2}"
LOCATION_CITY,Shivamogga,shivamogga,City in Karnataka,karnataka,LOCATION_STATE,true,10,"{""tier"":2}"
LOCATION_CITY,Tumakuru,tumakuru,City in Karnataka,karnataka,LOCATION_STATE,true,11,"{""tier"":2}"
LOCATION_CITY,Udupi,udupi,City in Karnataka,karnataka,LOCATION_STATE,true,12,"{""tier"":2}"
LOCATION_CITY,Bhadravati,bhadravati,City in Karnataka,karnataka,LOCATION_STATE,true,13,"{""tier"":2}"
LOCATION_CITY,Hassan,hassan,City in Karnataka,karnataka,LOCATION_STATE,true,14,"{""tier"":2}"
LOCATION_CITY,Raichur,raichur,City in Karnataka,karnataka,LOCATION_STATE,true,15,"{""tier"":2}"
LOCATION_CITY,Vijayapura,vijayapura,City in Karnataka,karnataka,LOCATION_STATE,true,16,"{""tier"":2}"
LOCATION_CITY,Bidar,bidar,City in Karnataka,karnataka,LOCATION_STATE,true,17,"{""tier"":2}"
LOCATION_CITY,Chikkamagaluru,chikkamagaluru,City in Karnataka,karnataka,LOCATION_STATE,true,18,"{""tier"":2}"
LOCATION_CITY,Chitradurga,chitradurga,City in Karnataka,karnataka,LOCATION_STATE,true,19,"{""tier"":2}"
LOCATION_CITY,Hospet,hospet,City in Karnataka,karnataka,LOCATION_STATE,true,20,"{""tier"":2}"
