type,value,slug,description,parentSlug,parentType,isActive,sortOrder,metadataJson
LOCATION_STATE,Andaman and Nicobar Islands,andaman-and-nicobar-islands,State in India,india,LOCATION_COUNTRY,true,1,"{""code"":""AN""}"
LOCATION_STATE,Andhra Pradesh,andhra-pradesh,State in India,india,LOCATION_COUNTRY,true,2,"{""code"":""AP""}"
LOCATION_STATE,Arunachal Pradesh,arunachal-pradesh,State in India,india,LOCATION_COUNTRY,true,3,"{""code"":""AR""}"
LOCATION_STATE,Assam,assam,State in India,india,LOCATION_COUNTRY,true,4,"{""code"":""AS""}"
LOCATION_STATE,Bihar,bihar,State in India,india,LOCATION_COUNTRY,true,5,"{""code"":""BR""}"
LOCATION_STATE,Chandigarh,chandigarh,State in India,india,LOCATION_COUNTRY,true,6,"{""code"":""CH""}"
LOCATION_STATE,Chhattisgarh,chhattisgarh,State in India,india,LOCATION_COUNTRY,true,7,"{""code"":""CT""}"
LOCATION_STATE,Dadra and Nagar Haveli and Daman and Diu,dadra-and-nagar-haveli-and-daman-and-diu,State in India,india,LOCATION_COUNTRY,true,8,"{""code"":""DH""}"
LOCATION_STATE,Delhi,delhi,State in India,india,LOCATION_COUNTRY,true,9,"{""code"":""DL""}"
LOCATION_STATE,Goa,goa,State in India,india,LOCATION_COUNTRY,true,10,"{""code"":""GA""}"
LOCATION_STATE,Gujarat,gujarat,State in India,india,LOCATION_COUNTRY,true,11,"{""code"":""GJ""}"
LOCATION_STATE,Haryana,haryana,State in India,india,LOCATION_COUNTRY,true,12,"{""code"":""HR""}"
LOCATION_STATE,Himachal Pradesh,himachal-pradesh,State in India,india,LOCATION_COUNTRY,true,13,"{""code"":""HP""}"
LOCATION_STATE,Jammu and Kashmir,jammu-and-kashmir,State in India,india,LOCATION_COUNTRY,true,14,"{""code"":""JK""}"
LOCATION_STATE,Jharkhand,jharkhand,State in India,india,LOCATION_COUNTRY,true,15,"{""code"":""JH""}"
LOCATION_STATE,Karnataka,karnataka,State in India,india,LOCATION_COUNTRY,true,16,"{""code"":""KA""}"
LOCATION_STATE,Kerala,kerala,State in India,india,LOCATION_COUNTRY,true,17,"{""code"":""KL""}"
LOCATION_STATE,Ladakh,ladakh,State in India,india,LOCATION_COUNTRY,true,18,"{""code"":""LA""}"
LOCATION_STATE,Lakshadweep,lakshadweep,State in India,india,LOCATION_COUNTRY,true,19,"{""code"":""LD""}"
LOCATION_STATE,Madhya Pradesh,madhya-pradesh,State in India,india,LOCATION_COUNTRY,true,20,"{""code"":""MP""}"
LOCATION_STATE,Maharashtra,maharashtra,State in India,india,LOCATION_COUNTRY,true,21,"{""code"":""MH""}"
LOCATION_STATE,Manipur,manipur,State in India,india,LOCATION_COUNTRY,true,22,"{""code"":""MN""}"
LOCATION_STATE,Meghalaya,meghalaya,State in India,india,LOCATION_COUNTRY,true,23,"{""code"":""ML""}"
LOCATION_STATE,Mizoram,mizoram,State in India,india,LOCATION_COUNTRY,true,24,"{""code"":""MZ""}"
LOCATION_STATE,Nagaland,nagaland,State in India,india,LOCATION_COUNTRY,true,25,"{""code"":""NL""}"
LOCATION_STATE,Odisha,odisha,State in India,india,LOCATION_COUNTRY,true,26,"{""code"":""OR""}"
LOCATION_STATE,Puducherry,puducherry,State in India,india,LOCATION_COUNTRY,true,27,"{""code"":""PY""}"
LOCATION_STATE,Punjab,punjab,State in India,india,LOCATION_COUNTRY,true,28,"{""code"":""PB""}"
LOCATION_STATE,Rajasthan,rajasthan,State in India,india,LOCATION_COUNTRY,true,29,"{""code"":""RJ""}"
LOCATION_STATE,Sikkim,sikkim,State in India,india,LOCATION_COUNTRY,true,30,"{""code"":""SK""}"
LOCATION_STATE,Tamil Nadu,tamil-nadu,State in India,india,LOCATION_COUNTRY,true,31,"{""code"":""TN""}"
LOCATION_STATE,Telangana,telangana,State in India,india,LOCATION_COUNTRY,true,32,"{""code"":""TG""}"
LOCATION_STATE,Tripura,tripura,State in India,india,LOCATION_COUNTRY,true,33,"{""code"":""TR""}"
LOCATION_STATE,Uttarakhand,uttarakhand,State in India,india,LOCATION_COUNTRY,true,34,"{""code"":""UK""}"
LOCATION_STATE,Uttar Pradesh,uttar-pradesh,State in India,india,LOCATION_COUNTRY,true,35,"{""code"":""UP""}"
LOCATION_STATE,West Bengal,west-bengal,State in India,india,LOCATION_COUNTRY,true,36,"{""code"":""WB""}"
