type,value,slug,description,parentSlug,parentType,status,sortOrder,metadataJson
LOCATION_COUNTRY,India,india,Country,,,ACTIVE,1,"{""iso2"":""IN""}"
LOCATION_STATE,Karnataka,karnataka,State in India,india,LOCATION_COUNTRY,ACTIVE,10,"{""code"":""KA""}"
LOCATION_CITY,Bengaluru,bengaluru,City in Karnataka,karnataka,LOCATION_STATE,ACTIVE,20,"{""tier"":1}"
JOB_CATEGORY,Clinical Research,clinical-research,Jobs in clinical research,,,ACTIVE,1,
JOB_CATEGORY,Pharmacovigilance,pharmacovigilance,PV roles,,,ACTIVE,2,
EVENT_CATEGORY,Webinar,webinar,Online learning event,,,ACTIVE,1,
EDUCATION_LEVEL,MBBS,mbbs,Medical degree,,,ACTIVE,1,
EDUCATION_LEVEL,BTech,btech,Engineering degree,,,ACTIVE,2,
SPECIALIZATION,Computer Science,computer-science,Software specialization,btech,EDUCATION_LEVEL,ACTIVE,1,
SPECIALIZATION,Mechanical Engineering,mechanical-engineering,Hardware specialization,btech,EDUCATION_LEVEL,ACTIVE,2,
EXPERIENCE_LEVEL,0-2 Years,exp-0-2,Junior experience band,,,ACTIVE,1,
EMPLOYMENT_TYPE,Full Time,full-time,Regular full time,,,ACTIVE,1,
SKILL,ECG Interpretation,ecg-interpretation,Clinical ECG reading skill,,,ACTIVE,1,
SKILL,IV Cannulation,iv-cannulation,Nursing skill,,,ACTIVE,2,
INDUSTRY,Healthcare,healthcare,Healthcare industry,,,ACTIVE,1,
ORGANIZATION_TYPE,Hospital,hospital,Healthcare provider org,,,ACTIVE,1,
AD_INTEREST,Cardiology,cardiology,Interest for ad targeting,,,ACTIVE,1,
SYSTEM_TAG,Featured,featured,Generic featured tag,,,ACTIVE,1,
