type,value,slug,description,parentSlug,parentType,isActive,sortOrder,metadataJson
EDUCATION_LEVEL,10TH,10th,Secondary School (Class 10),,,true,1,
EDUCATION_LEVEL,12TH,12th,Higher Secondary (Class 12),,,true,1,
EDUCATION_LEVEL,DIPLOMA,diploma,Diploma (Polytechnic/Technical),,,true,1,
EDUCATION_LEVEL,ITI,iti,Industrial Training Institute Certification,,,true,1,
EDUCATION_LEVEL,BA,ba,Bachelor of Arts,,,true,1,
EDUCATION_LEVEL,BSC,bsc,Bachelor of Science,,,true,1,
EDUCATION_LEVEL,BCOM,bcom,Bachelor of Commerce,,,true,1,
EDUCATION_LEVEL,BBA,bba,Bachelor of Business Administration,,,true,1,
EDUCATION_LEVEL,BCA,bca,Bachelor of Computer Applications,,,true,1,
EDUCATION_LEVEL,BTECH,btech,Bachelor of Technology,,,true,1,
EDUCATION_LEVEL,BE,be,Bachelor of Engineering,,,true,1,
EDUCATION_LEVEL,MBBS,mbbs,Bachelor of Medicine and Bachelor of Surgery,,,true,1,
EDUCATION_LEVEL,BDS,bds,Bachelor of Dental Surgery,,,true,1,
EDUCATION_LEVEL,BPHARM,bpharm,Bachelor of Pharmacy,,,true,1,
EDUCATION_LEVEL,LLB,llb,Bachelor of Laws,,,true,1,
EDUCATION_LEVEL,BED,bed,Bachelor of Education,,,true,1,
EDUCATION_LEVEL,MA,ma,Master of Arts,,,true,1,
EDUCATION_LEVEL,MSC,msc,Master of Science,,,true,1,
EDUCATION_LEVEL,MCOM,mcom,Master of Commerce,,,true,1,
EDUCATION_LEVEL,MBA,mba,Master of Business Administration,,,true,1,
EDUCATION_LEVEL,MCA,mca,Master of Computer Applications,,,true,1,
EDUCATION_LEVEL,MTECH,mtech,Master of Technology,,,true,1,
EDUCATION_LEVEL,ME,me,Master of Engineering,,,true,1,
EDUCATION_LEVEL,MD,md,Doctor of Medicine,,,true,1,
EDUCATION_LEVEL,MS,ms,Master of Surgery,,,true,1,
EDUCATION_LEVEL,MDS,mds,Master of Dental Surgery,,,true,1,
EDUCATION_LEVEL,MPHARM,mpharm,Master of Pharmacy,,,true,1,
EDUCATION_LEVEL,LLM,llm,Master of Laws,,,true,1,
EDUCATION_LEVEL,MED,med,Master of Education,,,true,1,
EDUCATION_LEVEL,PHD,phd,Doctor of Philosophy,,,true,1,
EDUCATION_LEVEL,MPhil,mphil,Master of Philosophy,,,true,1,
EDUCATION_LEVEL,CA,ca,Chartered Accountant,,,true,1,
EDUCATION_LEVEL,CS,cs,Company Secretary,,,true,1,
EDUCATION_LEVEL,CMA,cma,Cost and Management Accountant,,,true,1,
EDUCATION_LEVEL,OTHER,other,Other Qualification,,,true,1,
